Vendor,GRAPHTEC Corporation
Model,"GL980"
Version,"Ver1.38"
MaxCH,8
Logic/Pulse,Off
Sampling interval,1s
Total Data Points,3640      
Trigger,0         
Start time,2025-02-20,16:09:51
End time,2025-02-20,17:10:30
Trigger time,2025-02-20,16:09:51
AMP settings
CH,SignalName,Amp,Input,Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH1,"V_batt",M,DC,10V,50KHz,+5.000,-5.000, V,28,5,6,0
CH2,"I_batt",M,DC,10V,50KHz,+5.000,-5.000, V,0,13,23,0
CH,SignalName,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date,Time,ms,CH1,CH2,Alarm1-8,AlarmOut
NO.,Date,Time,ms," V"," V","A12345678","AO1234"
1,2025-02-20,16:09:51,0,+4.221,-0.002,LLLLLLLL,LLLL
2,2025-02-20,16:09:52,0,+4.220,+0.000,LLLLLLLL,LLLL
3,2025-02-20,16:09:53,0,+4.221,+0.002,LLLLLLLL,LLLL
4,2025-02-20,16:09:54,0,+4.221,-0.001,LLLLLLLL,LLLL
5,2025-02-20,16:09:55,0,+4.223,+0.001,LLLLLLLL,LLLL
6,2025-02-20,16:09:56,0,+4.221,+0.001,LLLLLLLL,LLLL
7,2025-02-20,16:09:57,0,+4.221,+0.001,LLLLLLLL,LLLL
8,2025-02-20,16:09:58,0,+4.223,+0.001,LLLLLLLL,LLLL
9,2025-02-20,16:09:59,0,+4.221,+0.001,LLLLLLLL,LLLL
10,2025-02-20,16:10:00,0,+4.221,+0.001,LLLLLLLL,LLLL
11,2025-02-20,16:10:01,0,+4.220,-0.002,LLLLLLLL,LLLL
12,2025-02-20,16:10:02,0,+4.219,+0.001,LLLLLLLL,LLLL
13,2025-02-20,16:10:03,0,+4.221,-0.001,LLLLLLLL,LLLL
14,2025-02-20,16:10:04,0,+4.221,+0.002,LLLLLLLL,LLLL
15,2025-02-20,16:10:05,0,+4.223,-0.001,LLLLLLLL,LLLL
16,2025-02-20,16:10:06,0,+4.218,-0.002,LLLLLLLL,LLLL
17,2025-02-20,16:10:07,0,+4.223,-0.001,LLLLLLLL,LLLL
18,2025-02-20,16:10:08,0,+4.220,-0.001,LLLLLLLL,LLLL
19,2025-02-20,16:10:09,0,+4.223,+0.001,LLLLLLLL,LLLL
20,2025-02-20,16:10:10,0,+4.221,+0.002,LLLLLLLL,LLLL
21,2025-02-20,16:10:11,0,+4.220,+0.001,LLLLLLLL,LLLL
22,2025-02-20,16:10:12,0,+4.221,-0.001,LLLLLLLL,LLLL
23,2025-02-20,16:10:13,0,+4.221,+0.002,LLLLLLLL,LLLL
24,2025-02-20,16:10:14,0,+4.220,+0.001,LLLLLLLL,LLLL
25,2025-02-20,16:10:15,0,+4.223,+0.001,LLLLLLLL,LLLL
26,2025-02-20,16:10:16,0,+4.218,+0.001,LLLLLLLL,LLLL
27,2025-02-20,16:10:17,0,+4.220,-0.001,LLLLLLLL,LLLL
28,2025-02-20,16:10:18,0,+4.221,+0.002,LLLLLLLL,LLLL
29,2025-02-20,16:10:19,0,+4.223,-0.001,LLLLLLLL,LLLL
30,2025-02-20,16:10:20,0,+4.221,+0.000,LLLLLLLL,LLLL
31,2025-02-20,16:10:21,0,+4.221,-0.001,LLLLLLLL,LLLL
32,2025-02-20,16:10:22,0,+4.220,+0.001,LLLLLLLL,LLLL
33,2025-02-20,16:10:23,0,+4.220,-0.001,LLLLLLLL,LLLL
34,2025-02-20,16:10:24,0,+4.220,+0.002,LLLLLLLL,LLLL
35,2025-02-20,16:10:25,0,+4.224,+0.003,LLLLLLLL,LLLL
36,2025-02-20,16:10:26,0,+4.221,+0.003,LLLLLLLL,LLLL
37,2025-02-20,16:10:27,0,+4.221,-0.002,LLLLLLLL,LLLL
38,2025-02-20,16:10:28,0,+4.220,+0.003,LLLLLLLL,LLLL
39,2025-02-20,16:10:29,0,+4.223,+0.001,LLLLLLLL,LLLL
40,2025-02-20,16:10:30,0,+4.221,+0.001,LLLLLLLL,LLLL
41,2025-02-20,16:10:31,0,+4.221,+0.003,LLLLLLLL,LLLL
42,2025-02-20,16:10:32,0,+4.223,+0.002,LLLLLLLL,LLLL
43,2025-02-20,16:10:33,0,+4.218,-0.002,LLLLLLLL,LLLL
44,2025-02-20,16:10:34,0,+4.221,-0.001,LLLLLLLL,LLLL
45,2025-02-20,16:10:35,0,+4.220,+0.001,LLLLLLLL,LLLL
46,2025-02-20,16:10:36,0,+4.221,+0.001,LLLLLLLL,LLLL
47,2025-02-20,16:10:37,0,+4.221,+0.001,LLLLLLLL,LLLL
48,2025-02-20,16:10:38,0,+4.221,+0.002,LLLLLLLL,LLLL
49,2025-02-20,16:10:39,0,+4.221,+0.003,LLLLLLLL,LLLL
50,2025-02-20,16:10:40,0,+4.221,+0.002,LLLLLLLL,LLLL
51,2025-02-20,16:10:41,0,+4.221,+0.001,LLLLLLLL,LLLL
52,2025-02-20,16:10:42,0,+4.221,+0.001,LLLLLLLL,LLLL
53,2025-02-20,16:10:43,0,+4.221,+0.004,LLLLLLLL,LLLL
54,2025-02-20,16:10:44,0,+4.221,-0.001,LLLLLLLL,LLLL
55,2025-02-20,16:10:45,0,+4.220,+0.000,LLLLLLLL,LLLL
56,2025-02-20,16:10:46,0,+4.222,+0.002,LLLLLLLL,LLLL
57,2025-02-20,16:10:47,0,+4.223,+0.001,LLLLLLLL,LLLL
